"","estacao_cetesb","poluente","data","concentracao"
"495","Pinheiros","CO",2018-05-10,0.404105633286281
"496","Pinheiros","CO",2018-05-11,0.416755373108187
"497","Pinheiros","CO",2018-05-12,0.538252868930243
"498","Pinheiros","CO",2018-05-13,0.528779365865384
"499","Pinheiros","CO",2018-05-14,0.242857142857143
"500","Pinheiros","CO",2018-05-15,0.375
"501","Pinheiros","CO",2018-05-16,0.3
"502","Pinheiros","CO",2018-05-17,0
"503","Pinheiros","CO",2018-05-18,0.42001091072263
"504","Pinheiros","CO",2018-05-19,0.44476705279751
"505","Pinheiros","CO",2018-05-20,0.446404595445974
"506","Pinheiros","CO",2018-05-21,0.545110687182325
"507","Pinheiros","CO",2018-05-22,0.490533517598468
"508","Pinheiros","CO",2018-05-23,0.614476370570496
"509","Pinheiros","CO",2018-05-24,0.465648138785202
"510","Pinheiros","CO",2018-05-25,0.200356721842811
"511","Pinheiros","CO",2018-05-26,0.182265623359031
"512","Pinheiros","CO",2018-05-27,0.429166666666667
"513","Pinheiros","CO",2018-05-28,0.445833333333333
"514","Pinheiros","CO",2018-05-29,0.416666666666667
"515","Pinheiros","CO",2018-05-30,0.695833333333333
"516","Pinheiros","CO",2018-05-31,1.19583333333333
